"3.0989013/-10.238142/-2.3143694/Thu Nov 05 00:22:08 IST 2015,"
"5.374044/-7.806093/-0.78453195/Thu Nov 05 00:22:09 IST 2015,"
"3.2950344/-6.0408964/-0.8237586/Thu Nov 05 00:22:09 IST 2015,"
"2.1182363/-4.511059/-0.6276256/Thu Nov 05 00:22:09 IST 2015,"
"1.7259704/-3.5303938/-0.39226598/Thu Nov 05 00:22:09 IST 2015,"
"2.1182363/-2.3928225/0.4314926/Thu Nov 05 00:22:09 IST 2015,"
"2.7066352/-1.7259704/2.2359161/Thu Nov 05 00:22:09 IST 2015,"
"6.550842/-12.00334/13.768537/Thu Nov 05 00:22:09 IST 2015,"
"3.4519408/-15.180694/9.100571/Thu Nov 05 00:22:09 IST 2015,"
"2.1966896/-7.60996/6.746975/Thu Nov 05 00:22:09 IST 2015,"
"3.6873002/-4.511059/2.1182363/Thu Nov 05 00:22:09 IST 2015,"
"12.317152/-7.806093/1.0198916/Thu Nov 05 00:22:09 IST 2015,"
"7.923773/-13.297817/1.2552512/Thu Nov 05 00:22:09 IST 2015,"
"3.80498/-8.943665/-1.7259704/Thu Nov 05 00:22:09 IST 2015,"
"2.8635418/-8.943665/-3.6873002/Thu Nov 05 00:22:09 IST 2015,"
"1.4906107/-10.120462/-3.6480737/Thu Nov 05 00:22:09 IST 2015,"
"0.70607877/-9.610517/-2.2751427/Thu Nov 05 00:22:09 IST 2015,"
"0.6668522/-7.256921/0.588399/Thu Nov 05 00:22:09 IST 2015,"
"2.1182363/-7.4138274/1.2160245/Thu Nov 05 00:22:09 IST 2015,"
"2.353596/-9.100571/-1.2944778/Thu Nov 05 00:22:09 IST 2015,"
"2.1966896/-9.257478/2.1574628/Thu Nov 05 00:22:09 IST 2015,"
"2.432049/-9.92433/0.0392266/Thu Nov 05 00:22:09 IST 2015,"
"3.2558076/-10.120462/-0.70607877/Thu Nov 05 00:22:09 IST 2015,"
"2.4712758/-9.92433/-0.78453195/Thu Nov 05 00:22:09 IST 2015,"
"1.2160245/-11.53262/-2.0005565/Thu Nov 05 00:22:09 IST 2015,"
"-0.1176798/-14.749201/-2.0005565/Thu Nov 05 00:22:09 IST 2015,"
"0.4314926/-13.572403/1.4513842/Thu Nov 05 00:22:10 IST 2015,"
"3.8442068/-14.003896/0.1176798/Thu Nov 05 00:22:10 IST 2015,"
"4.5502853/-14.121575/-1.7651969/Thu Nov 05 00:22:10 IST 2015,"
"6.1193495/-12.356379/-1.8436501/Thu Nov 05 00:22:10 IST 2015,"
"5.491724/-8.512172/-0.9414384/Thu Nov 05 00:22:10 IST 2015,"
"3.7657535/-5.7270837/-1.9221034/Thu Nov 05 00:22:10 IST 2015,"
"1.2944778/-3.3734875/-1.8436501/Thu Nov 05 00:22:10 IST 2015,"
"0.19613299/-1.7651969/-2.3143694/Thu Nov 05 00:22:10 IST 2015,"
"1.2944778/-1.4906107/-0.8237586/Thu Nov 05 00:22:10 IST 2015,"
